,B_cell,T_cell,activated_stellate,alpha,beta,delta,ductal,endothelial,gamma,immune_other,macrophage,quiescent_stellate,schwann
41,Tmsb4x,Fmnl1,Runx1,Rpl30,Syt7,5330417C22Rik,Bhlhe40,Notch4,Calb1,Psme1,H2-K1,Phlda1,Rps12-ps3
42,Rpl17,Il2rg,Actb,Rps23,Fam135a,Etv1,Tgm2,Dll4,Itm2c,Cxcl16,Ms4a7,Txn1,Tax1bp3
43,Rps3,Ppp1r16b,Itga5,Kcnk3,Pcsk2,Efna5,Sfn,Sox4,Colgalt2,Gadd45b,Vim,Peak1,Set
44,Unc93b1,Lcp1,Tspan4,Rpl5,Creg1,Gprasp1,Myh9,Ptprb,Fam222a,Crip1,Clec4d,Fermt2,Rpl26
45,H2-DMb2,Arpc3,Apoe,Rpl19,Sytl4,Pnmal2,Tuba1c,Ifitm3,Mbnl2,Stat3,C3ar1,Notch3,Eef1g
46,H2-Ob,Stx11,Cd44,Rpl17,Rasgrf1,Rnaset2b,Sprr1a,Igfbp7,Gabarapl1,Cst3,Adam8,Dlc1,Serbp1
47,Fcmr,Tbc1d4,Fam129b,Rpl13a,Uqcrq,Lgals3bp,Basp1,Ramp3,Tm4sf4,H2-K1,H2-Eb1,B2m,Pdgfa
48,Rps5,Hcls1,Pmepa1,Rpl14,Prkcb,Fos,F11r,Robo4,St6gal1,Batf3,Cd53,Gem,Cd44
49,Rps9,Pde2a,Capg,Rpl23,Camk2n1,Pak3,Ankrd1,Sptbn1,Cpe,Myl12a,Cd68,Nbl1,Rps17
50,Rps12-ps3,Satb1,Flna,Rnf130,Eprs,Anxa6,Cp,Pde4b,Id3,Kcnk6,Ctsz,Gjc1,Rpl19
51,Rpl13a,Cnn2,Ccl2,Cystm1,Zdhhc2,Gc,Tpm1,Podxl,Ucp2,Cd83,Hcls1,H3f3b,Rps26
52,Rps18,Ikzf2,Postn,Rpl36a,Pam,Hmgn3,St14,Serpine1,Bambi,Tnip3,Sdc3,Tubb6,Rpl18
53,Rps21,Rapgef2,Errfi1,Rpl26,Tram1,Syt1,Tagln2,Gimap6,Ier2,Nr4a3,Cd14,Procr,Tmsb10
54,Plac8,Samhd1,Pdpn,Rps13,Arfgef3,Gprasp2,Shroom3,Ets1,Tspan7,Irf5,Grn,Hspb8,Rps8
55,Rpl7,Tnfrsf9,Col6a2,Slc7a8,Il1r1,Golim4,Cxcl16,Apbb2,Prkacb,Rgs1,Basp1,Ctsc,Rps6
56,Rplp1,Zfp36,Cxcl5,Rps15a,Ucn3,Pex5l,Ncl,Serpinh1,Btg2,Irf8,Lipa,Qk,Pa2g4
57,Gimap4,Sh3bgrl3,Timp1,5330417C22Rik,Sdk2,Ptprn,Hes1,Sema3f,Spint2,Lrrk1,Ctsa,Csrp1,Marcksl1
58,Naca,Polr2c,Prrx1,Rps14,Cyfip2,Ncam1,Card10,Rasip1,Meis2,St8sia4,Fxyd5,Pdlim7,Vat1
59,Eef1b2,Cxcr4,Loxl1,Rpsa,Snap25,Meg3,Actb,Pmepa1,Slc16a10,Csf2rb2,Cst3,Cdkn1a,Spred1
60,Cytip,Slc9a3r1,Cxcl1,Rpl21,Neurod1,1190002N15Rik,Tm4sf1,Ier3,Spon2,AW112010,Unc93b1,Axl,Fosl1
61,Gm8624,Yme1l1,Cxcl12,Rps25,Fam46a,Cd81,Hbegf,Efna1,Cd81,Fnbp1,Hmox1,Esam,Nhp2
62,Rpl26,Sdf4,1110038B12Rik,Wnt4,Asns,Gabrb3,Eif6,Ednrb,Cd9,Lcp1,Rnf149,Plin2,Cdc42se1
63,Lcp1,Hn1,Oat,Ang,Ppp1r1a,Camk2b,Dusp1,Plat,Tspan3,Rftn1,Irf7,Ppp1r18,Eif5a
64,Ctss,Limd2,Vegfa,Rps5,Slc7a5,Iapp,Pmepa1,S100a16,Gas5,Rap2b,Mafb,Hilpda,Lmna
65,Stk17b,Tmsb10,Stc1,Rplp1,Dap,Wdr6,Lurap1l,Prss23,Alcam,Tmem39a,H2-Q7,Rarres2,Rps10
66,Rpl12,Tnfaip3,Hnrnpa1,Rps4x,Pcsk1n,Pura,Nfkbia,Angpt2,Rhou,Ctss,Cotl1,Gng11,Pls3
67,Rpl19,Rab8b,Rpl12,Tpt1,Serp1,Cacna1h,Myc,Sox18,Tmem59,Bhlhe40,Csf2rb2,Btg1,Rps9
68,Rps8,Daxx,Ugdh,Rpl7,Scg5,Efnb3,Actg1,Tm4sf1,Snhg8,Idi1,Ms4a6c,Mif,Esd
69,Rps29,Gltp,Arpc1b,Rps15,Bex2,Cbx6,Iqgap1,Smad6,Ndn,Stk17b,Lilrb4a,Pde3a,Rtn4
70,Rpl28,Btg1,Eng,Serping1,P4hb,Ier2,Efhd2,Arpc1b,Jun,Helz2,Pkm,Efhd2,Rpl21
71,Rpl35a,Fam107b,Rplp1,Rps20,Gjd2,Cplx2,Cd9,Ctla2b,St8sia3,Ostf1,Taldo1,Fam129b,Uba1
72,Rpl39,Pmepa1,Dclk1,Lgals3bp,Gns,Asph,Wwc1,Dusp6,Ctsz,Anxa2,Cybb,Plac9b,Pdlim1
73,Rps16,Rnaset2b,Tmsb4x,Eef1b2,Lman1,Selm,Itga3,Erg,Foxp1,Actn1,Sh3bgrl3,Tuba1c,Cd63
74,Rpl37a,Fam101b,Eif5a,Gatsl2,Ergic1,Aplp1,Pbx1,Id1,Syt7,Prr13,Efhd2,Anxa2,Rps11
75,Ly6a,Flna,Fgfr1,1700086L19Rik,Ttyh1,Adam22,Pnrc1,Flt4,Pax6,Zfp36,Sgk1,Cav1,Rpl36a
76,Rpl27,Cir1,Csf1,Rpl8,Dst,Serping1,Ctnnd1,Litaf,Ubqln2,Uap1,Tmem189,Tpm1,Tnfrsf12a
77,Rpl21,Msn,Procr,Rps18,Gde1,Bmp3,Plet1,Dusp1,Cplx2,Zfp36l1,Creg1,Gja4,Tuba1b
78,Rpl8,Ctla4,Nid1,Pam,Syp,Pbxip1,Fam107b,Wwtr1,Sult1d1,Rhog,Blvrb,Fxyd5,Srsf3
