,gene,beta,alpha,delta,ductal,endothelial,gamma,macrophage,quiescent_stellate,activated_stellate
0,Ins2,869.9817164990571,55.71461549467009,98.97386814664787,103.02934661590768,157.24424829922526,19.787653208811676,36.539986794204445,80.24005957149463,39.042101816957995
1,Ins1,567.729314843613,26.013488245151365,48.784208056859974,53.465275771642254,91.151814687485,10.234506434177444,11.24023385623525,43.996772650960196,15.287896526984353
2,Prss53,3.981201489888528,0.3602607671342812,0.3826888649340647,0.5215972610363642,0.5275241439480551,0.21808478995509084,0.23231068414572323,0.29172998299578906,0.2672612419124244
3,Iapp,239.64779881859843,38.16573190390582,153.81105360325733,15.882087083025546,54.16132349351403,15.837936857508904,3.8280501895832373,8.217724126802798,2.4405007592795287
4,G6pc2,11.215233259713196,0.8579776538175469,0.2853917343899257,0.5344905604936363,0.8637197960816111,0.0,0.6666666666666666,0.41591823006218104,0.3631365196012814
5,Ero1lb,4.1906719853652685,0.8047804264879256,0.7498220592476547,0.46616081535566556,0.8568113811592104,0.3996950056742961,0.6242455764220839,0.6982202828386271,0.2672612419124244
6,Scg3,13.344322511088665,3.8173076863010516,4.122856960912595,1.0531590547925038,1.6011738473696642,2.882876273750939,0.8101538164751224,0.8412360405116325,0.6112498455021266
7,Chga,26.733841234635307,17.070502017493112,11.904554966563428,1.8603322547890098,4.495818792216738,8.765300211908206,1.1324926854243618,1.381120219959019,0.26726124191242434
8,Prlr,3.9544259934323005,0.2725627233082835,0.3826888649340648,0.43310272393022375,0.750629666517989,0.15617376188860604,0.2323106841457232,0.0,0.0
9,Bace2,3.5418144533333855,0.9721103961021993,0.679171120857319,0.6702909667397435,1.0167505447827019,1.3061766959242571,0.16666666666666666,0.4809026357287708,0.4258153136263201
10,Igf1r,7.881865043781702,1.5747560794730784,1.5146517331530094,1.7740068204691322,1.1951226778005777,1.3739741184057217,0.4846861199999798,0.7305922476850054,0.5789342235218394
